Date,Monthly_Return
2023-01-31,
2023-02-28,-1.3029315960912058
2023-03-31,5.610561056105601
2023-04-30,2.34375
2023-05-31,9.007633587786268
2023-06-30,1.1204481792717047
2023-07-31,-3.3240997229916913
2023-08-31,-4.154727793696278
2023-09-30,2.2421524663677195
2023-10-31,-2.1929824561403466
2023-11-30,8.819133034379668
2023-12-31,7.829670329670324
2024-01-31,-7.388535031847132
2024-02-29,0.9628610729023324
2024-03-31,12.261580381471383
2024-04-30,-5.946601941747575
2024-05-31,-5.161290322580648
2024-06-30,10.88435374149659
2024-07-31,2.944785276073625
2024-08-31,-11.442193087008345
2024-09-30,-17.227456258411845
2024-10-31,-3.7398373983739797
2024-11-30,-8.445945945945944
2024-12-31,-1.845018450184499
